Vorschaubild,Inv.Nr.,Link DIPkatalog,Standort,Herstellungsort,Fundort/Herkunft,Foto Link - Medienserver,Objektbezeichnung,Beschreibung (Museumsobjekt),Objektgeschichte (Museumsobjekt),Material,Technik,Entstehungszeit,Schlagworte,Eingangsart,Eing.Nr.,Lizenzbedingung,Link Museumsdatenbank,Eigentümer,Publizieren,Thema,Sammlung,Copyright,Institution,Bilder zum Objekt,Dateiname
,KFJM4259,https://www.noemuseen.at/objekt-detail/catalog/negativform-68192/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4259.jpg,Negativform,rechteckige Negativform mit Kruzifixdarstellung und drei Eintiefungen zur Fixierung;,,Gips,gegossen,,,,1375/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4259.jpg,
,KFJM4260,https://www.noemuseen.at/objekt-detail/catalog/negativform-68193/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4260.jpg,Negativform,"rechteckige Negativform mit oben abgerundeten und unten abgeschrägten Ecken, mit Kruzifixdarstellung und drei Eintiefungen zur Fixierung;",,Gips,gegossen,,,,1376/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4260.jpg,
,KFJM4261a-b,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4261a-b.jpg,Negativform,"rechteckige, zweiteilige Negativform mit der Darstellung eines einfachen Kreuzes; an den Rändern 3 Vertiefungen und 3 Zapfen zur Fixierung;",,Gips,gegossen,,,,1377/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4261a-b.jpg,
,KFJM4262a-b,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4262a-b.jpg,Negativform,"rechteckige, zweiteilige Negativform mit der Darstellung eines verzierten Kreuzes; an den Rändern 5 Vertiefungen und 5 Zapfen zur Fixierung;",,Gips,gegossen,,,,1378/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4262a-b.jpg,
,KFJM4263a-b,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4263a-b.jpg,Negativform,"rechteckige, zweiteilige Negativform mit der Darstellung eines verzierten Kreuzes; an den Rändern 4 Vertiefungen und 4 Zapfen zur Fixierung;",,Gips,gegossen,,,,1379/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4263a-b.jpg,
,KFJM4264a-b,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4264a-b.jpg,Negativform,"rechteckige Negativform mit der Darstellung eines Vogels, mit 3 Zapfen und Vertiefungen zur Fixieung sowie einem Eingußloch;",,Gips,gegossen,,,,1380/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4264a-b.jpg,
,KFJM4265,https://www.noemuseen.at/objekt-detail/catalog/negativform-68198/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4265.jpg,Negativform,abgerundet rechteckige Negativform mit Strahlendarstellung;,,Gips,gegossen,,,,1381/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4265.jpg,
,KFJM4266,https://www.noemuseen.at/objekt-detail/catalog/negativform-68199/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4266.jpg,Negativform,trapezförmige Negativform mit floralen Mustern;,,Gips,gegossen,,,,1382/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4266.jpg,
,KFJM4267,https://www.noemuseen.at/objekt-detail/catalog/negativform-68200/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4267.JPG,Negativform,rechteckige Negativform für zwei Arme mit drei Vertiefungen zur Fixierung;,,Gips,gegossen,,,,1383/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4267.jpg,
,KFJM4271,https://www.noemuseen.at/objekt-detail/catalog/negativform-68204/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4271.jpg,Negativform,rundbogenförmige Negativform mit der symmetrischen Abbildung von hängenden Blättern und Früchten;,,Gips,gegossen,,,,1387/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4271.jpg,
,KFJM4272,https://www.noemuseen.at/objekt-detail/catalog/negativform-68205/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4272.jpg,Negativform,spitzbogenförmige Negativform mit regelmäßiger Blattdarstellung;,,Gips,gegossen;modelliert,,,,1388/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4272.jpg,
,KFJM4273,https://www.noemuseen.at/objekt-detail/catalog/negativform-68206/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4273.jpg,Negativform,"rechtecikge Negativform mit einfachem Rankenmotiv, auf der Rückseite die eingeritzten Buchstaben ""J"" und ""G"", sowie die Datierung ""1871"" (?);",,Gips,gegossen;modelliert,1871,,,1389/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4273.jpg,
,KFJM4274,https://www.noemuseen.at/objekt-detail/catalog/negativform-68207/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4274.jpg,Negativform,"bogenförmige Negativform mit Rankenmotiven; auf der Rückseite die eingeritzten Buchstaben ""j.G."", sowie ""N.37."";",,Gips,gegossen;modelliert,,,,1390/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4274.jpg,
,KFJM4275,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4275.JPG,Negativform,rechteckige Negativform mit symmetrischen Blüten- und Blattmotiven;,,Gips,gegossen;modelliert,,,,1391/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4275.jpg,
,KFJM4276,https://www.noemuseen.at/objekt-detail/catalog/negativform-68209/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4276.jpg,Negativform,"kleine, rechteckige Negativform mit bogenförmigem Blattmotiv;",,Gips,gegossen;modelliert,,,,1392/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4276.jpg,
,KFJM4277,https://www.noemuseen.at/objekt-detail/catalog/negativform-68210/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4277.jpg,Negativform,Teil einer rechteckigen Negativform mit stilisierten Efeublattmotiven;,,Gips,gegossen;modelliert,,,,1393/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4277.jpg,
,KFJM4278,https://www.noemuseen.at/objekt-detail/catalog/negativform-68211/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4278.jpg,Negativform,"rechteckige Negativform mit 2 Längsrillen und 2 gegenüberliegenden, symmetrischen Blatt- und Fruchtmotiven;",,Gips,gegossen;modelliert,,,,1394/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4278.jpg,
,KFJM4279,https://www.noemuseen.at/objekt-detail/catalog/negativform-68212/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4279.jpg,Negativform,"schmale, rechteckige Negativform mit Perlenbandmotiv;",,Gips,gegossen;modelliert,,,,1395/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4279.jpg,
,KFJM4280,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-68213/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4280.jpg,Kachelmodel,quadratische Negativform (Kachelmodel?) mit Löwenkopfmotiv und gerilltem Rand;,,Gips,gegossen;modelliert,,,,1396/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4280.jpg,
,KFJM4281,https://www.noemuseen.at/objekt-detail/catalog/negativform-68214/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4281.jpg,Negativform,"rautenförmige Negativform mit floralem Motiv, seitlich eingeritzt ""II."";",,Gips,gegossen;modelliert,,,,1397/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4281.jpg,
,KFJM4282,https://www.noemuseen.at/objekt-detail/catalog/negativform-68215/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4282.jpg,Negativform,"rechteckige Negativform mit flachem Blattmotiv und abschließender, tiefer, herzförmiger Ausnehmung;",,Gips,gegossen;modelliert,,,,1398/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4282.jpg,
,KFJM4283,https://www.noemuseen.at/objekt-detail/catalog/negativform-68216/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4283.jpg,Negativform,"dreieckige Negativform mit bogenförmigem Blumenmotiv, das an den unteren Enden in Spiralen mündet;",,Gips,gegossen;modelliert,,,,1399/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4283.jpg,
,KFJM4284,https://www.noemuseen.at/objekt-detail/catalog/negativform-68217/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4284.jpg,Negativform,"herzförmige Negativform mit Herzmotiv, durchkreuzt von Speer und Szepter(?);",,Gips,gegossen;modelliert,,,,1400/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4284.jpg,
,KFJM4285,https://www.noemuseen.at/objekt-detail/catalog/negativform-68218/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4285.jpg,Negativform,"rechteckige Negativform mit reichhaltiger, zusammenhängender Musterung: Stern, zwei Räder, Herz - und Blattmotive;",,Gips,gegossen;modelliert,,,,1401/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4285.jpg,
,KFJM4286,https://www.noemuseen.at/objekt-detail/catalog/negativform-68219/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4286.jpg,Negativform,"an den Ecken abgeflachte, rautenförmige Negativform mit dem Motiv eines in einer verzierten  Schale brennenden Feuers;",,Gips,gegossen;modelliert,,,,1402/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4286.jpg,
,KFJM4287,https://www.noemuseen.at/objekt-detail/catalog/negativform-68220/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4287.jpg,Negativform,"quadratische Negativform mit gegenüberliegenden, symmetrischen Blattmotiven;",,Gips,gegossen;modelliert,,,,1403/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4287.jpg,
,KFJM4289,https://www.noemuseen.at/objekt-detail/catalog/negativform-68222/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4289.jpg,Negativform,quadratische Negativform mit Schleifenmotiv;,,Gips,gegossen;modelliert,,,,1405/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4289.jpg,
,KFJM4291,https://www.noemuseen.at/objekt-detail/catalog/negativform-68224/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4291.jpg,Negativform,quadtratische Negativform mit fein gemustertem Ringmotiv;,,Gips,gegossen;modelliert,,,,1407/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4291.jpg,
,KFJM4292,https://www.noemuseen.at/objekt-detail/catalog/negativform-68225/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4292.jpg,Negativform,rundbogenförmige Negativform aus Ton in Gipsmantel mit Darstellungen von 3 verschieden großen Blättern: zwei mit gezacktem und eines mit glattem Rand;,,Gips;Keramik/Ton,gegossen;modelliert,,,,1408/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4292.jpg,
,KFJM4295,https://www.noemuseen.at/objekt-detail/catalog/negativform-68228/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4295.jpg,Negativform,rechteckige Negativform mit feinen Blatt- und Fruchtmotiven;,,Gips,gegossen;modelliert,,,,1411/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4295.jpg,
,KFJM4296,https://www.noemuseen.at/objekt-detail/catalog/negativform-68229/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4296.jpg,Negativform,sichelförmige Negativform mit feinen Rosenmotiven;,,Gips,gegossen;modelliert,,,,1412/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4296.jpg,
,KFJM4297,https://www.noemuseen.at/objekt-detail/catalog/negativform-68230/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4297.jpg,Negativform,rundbogenförmige Negativform mit dem Motiv einer Frauengestalt mit erhobenem Arm und wallendem Gewand (tanzend);,,Gips,gegossen;modelliert,,,,1413/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4297.jpg,
,KFJM4298,https://www.noemuseen.at/objekt-detail/catalog/negativform-68231/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4298.jpg,Negativform,sich nach oben verjüngende Negativform mit stark stilisiertem Marienmotiv (?) mit Feuerkrone;,,Gips,gegossen;modelliert,,,,1414/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4298.jpg,
,KFJM4299,https://www.noemuseen.at/objekt-detail/catalog/negativform-68232/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4299.jpg,Negativform,abgerundete Negativform mit großem Rocaille-Muster und einer Blume;,,Gips,gegossen;modelliert,,,,1415/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4299.jpg,
,KFJM4300,https://www.noemuseen.at/objekt-detail/catalog/negativform-68233/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4300.jpg,Negativform,rechteckige Negativform mit Pflanzenrankenmotiv auf Stab;,,Gips,gegossen;modelliert,,,,1416/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4300.jpg,
,KFJM4301,https://www.noemuseen.at/objekt-detail/catalog/negativform-68234/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4301.jpg,Negativform,rundbogenförmige Negativform mit stilisierten Blütenranken;,,Gips,gegossen;modelliert,,,,1417/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4301.jpg,
,KFJM4302,https://www.noemuseen.at/objekt-detail/catalog/negativform-68235/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4302.jpg,Negativform,rechteckige Negativform mit einfacher Längsrille;,,Gips,gegossen;modelliert,,,,1419/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4302.jpg,
